_ - congress,_ - introducedDate,_ - type,_ - url,_ - amendmentNumber,_ - number,_ - title,_ - latestAction,_ - latestAction - actionDate,_ - latestAction - text,_ - latestAction - actionTime,_ - policyArea - name
104,1995-06-30,,https://api.congress.gov/v3/amendment/104/samdt/1487?format=json,1487,,,,1995-07-20,Considered by Senate. ,,
104,1995-06-13,,https://api.congress.gov/v3/amendment/104/samdt/1341?format=json,1341,,,,1995-06-15,Amendment SP 1341 agreed to in Senate by Yea-Nay Vote. 59-39. Record Vote No: 267. ,,
104,1995-06-07,,https://api.congress.gov/v3/amendment/104/samdt/1255?format=json,1255,,,,1995-06-09,Amendment SP 1255 as modified agreed to in Senate by Yea-Nay Vote. 77-8. Record Vote No: 248. ,,
104,1995-05-25,,https://api.congress.gov/v3/amendment/104/samdt/1199?format=json,1199,,,,1995-06-07,Amendment SP 1199 as modified agreed to in Senate by Voice Vote. ,,
104,1995-05-24,,https://api.congress.gov/v3/amendment/104/samdt/1159?format=json,1159,,,,1995-05-24,Amendment SP 1159 agreed to in Senate by Yea-Nay Vote. 55-45. Record Vote No: 197. ,,
104,1995-05-24,,https://api.congress.gov/v3/amendment/104/samdt/1147?format=json,1147,,,,1995-05-24,Amendment SP 1147 agreed to in Senate by Voice Vote. ,,
104,1995-05-02,,https://api.congress.gov/v3/amendment/104/samdt/617?format=json,617,,,,1995-05-03,Amendment SP 617 as modified agreed to in Senate by Yea-Nay Vote. 51-49. Record Vote No: 146. ,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/577?format=json,577,,,,1995-04-06,Amendment SP 577 agreed to in Senate by Voice Vote. ,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/565?format=json,565,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/561?format=json,561,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/557?format=json,557,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/545?format=json,545,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/562?format=json,562,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/558?format=json,558,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/559?format=json,559,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/546?format=json,546,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/555?format=json,555,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/560?format=json,560,,,,,,,
104,1995-04-06,,https://api.congress.gov/v3/amendment/104/samdt/556?format=json,556,,,,,,,
104,1995-04-04,,https://api.congress.gov/v3/amendment/104/samdt/451?format=json,451,,,,1995-04-05,Amendment SP 451 as modified agreed to in Senate by Voice Vote. ,,
104,1995-03-20,,https://api.congress.gov/v3/amendment/104/samdt/347?format=json,347,,,,1995-03-23,Amendment SP 347 agreed to in Senate by Voice Vote. ,,
104,1995-02-02,,https://api.congress.gov/v3/amendment/104/samdt/229?format=json,229,,,,1995-02-02,Referred to the Committee on Judiciary. ,,
104,1995-02-09,,https://api.congress.gov/v3/amendment/104/samdt/237?format=json,237,,,,1995-02-10,Amendment SP 237 agreed to in Senate by Voice Vote. ,,
104,1995-02-03,,https://api.congress.gov/v3/amendment/104/samdt/233?format=json,233,,,,1995-02-08,"SP 231, SP 232, SP 233 fell when the motion to commit with instructions tabled. ",,
104,1995-02-09,,https://api.congress.gov/v3/amendment/104/samdt/238?format=json,238,,,,1995-02-10,Amendment SP 238 agreed to in Senate by Yea-Nay Vote. 87-10. Record Vote No: 63. ,,
104,1995-01-24,,https://api.congress.gov/v3/amendment/104/samdt/211?format=json,211,,,,1995-01-27,Proposed amendment SP 211 withdrawn in Senate. ,,
104,1995-02-03,,https://api.congress.gov/v3/amendment/104/samdt/232?format=json,232,,,,1995-02-08,"SP 231, SP 232, SP 233 fell when the motion to commit with instructions tabled. ",,
104,1995-01-18,,https://api.congress.gov/v3/amendment/104/samdt/139?format=json,139,,,,1995-01-18,Amendment SP 139 as modified agreed to in Senate by Yea-Nay Vote. 99-1. Record Vote No: 23. ,,
104,1996-06-11,S,https://api.congress.gov/v3/bill/104/s/1857?format=json,,1857,Bipartisan Campaign Practices Commission Act of 1996,,1996-06-11,Read twice and referred to the Committee on Rules.,,Government Operations and Politics
104,1996-06-11,S,https://api.congress.gov/v3/bill/104/s/1856?format=json,,1856,Medicare Restoration Act of 1996,,1996-06-11,Read twice and referred to the Committee on Finance.,,Health
104,1996-06-10,S,https://api.congress.gov/v3/bill/104/s/1854?format=json,,1854,Violent and Repeat Juvenile Offender Reform Act of 1996,,1996-06-10,Read twice and referred to the Committee on Judiciary.,,Crime and Law Enforcement
104,1996-06-04,S,https://api.congress.gov/v3/bill/104/s/1830?format=json,,1830,NATO Enlargement Facilitation Act of 1996,,1996-06-04,Read twice and referred to the Committee on Foreign Relations.,,International Affairs
104,1996-05-24,S,https://api.congress.gov/v3/bill/104/s/1823?format=json,,1823,Personal Responsibility and Work Opportunity Act of 1996,,1996-05-24,Introduced in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 426.,,Social Welfare
104,1996-05-08,S,https://api.congress.gov/v3/bill/104/s/1739?format=json,,1739,A bill to amend the Internal Revenue Code of 1986 to repeal the 4.3-cent increase in the transportation motor fuels excise tax rates enacted by the Omnibus Budget Reconciliation Act of 1993 and dedicated to the general fund of the Treasury.,,1996-05-08,Read twice and referred to the Committee on Finance.,,Taxation
104,1996-05-01,S,https://api.congress.gov/v3/bill/104/s/1720?format=json,,1720,A bill to establish the Nicodemus National Historic Site and the New Bedford National Historic Landmark.,,1996-09-28,For Further Action See H.R.4236.,,Public Lands and Natural Resources
104,1996-04-29,S,https://api.congress.gov/v3/bill/104/s/1711?format=json,,1711,Veterans' Benefits Improvements Act of 1996,,1996-10-09,Became Public Law No: 104-275.,,Armed Forces and National Security
104,1996-03-14,S,https://api.congress.gov/v3/bill/104/s/1618?format=json,,1618,A bill to provide uniform standards for the award of punitive damages for volunteer services.,,1996-03-15,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 347.,,Law
104,1996-03-21,S,https://api.congress.gov/v3/bill/104/s/1639?format=json,,1639,A bill to require the Secretary of Defense and the Secretary of Health and Human Services to carry out a demonstration project to provide the Department of Defense with reimbursement from the medicare program for health care services provided to medicare-eligible beneficiaries under TRICARE.,,1996-03-21,Read twice and referred to the Committee on Finance.,,Armed Forces and National Security
104,1996-03-21,S,https://api.congress.gov/v3/bill/104/s/1635?format=json,,1635,Defend America Act of 1996,,1996-06-04,Cloture on the motion to proceed not invoked in Senate by Yea-Nay Vote. 53-46. Record Vote No: 157. (consideration: CR S5741),,Armed Forces and National Security
